HIP,RA_deg,Dec_deg,Vmag,BV
132,0.42200516,-34.65350786,10.6200,0.3580
133,0.42336890,-40.14866597,6.6200,0.5450
134,0.42514055,-1.13997217,9.9600,0.2640
135,0.42674592,-0.21749947,8.6400,0.6200
136,0.42864226,24.25318080,6.6000,1.1530
137,0.43268925,42.36714821,6.2500,-0.0420
138,0.43720393,-16.53172119,7.8300,1.0740
139,0.44529240,67.50697620,10.0300,1.2890
140,0.45267471,-68.10481108,9.0400,0.5460
141,0.45342986,36.35034560,8.4700,1.3500
142,0.45374866,66.30600204,7.3300,0.7300
144,0.45508990,76.17561121,8.6600,1.3640
143,0.45518210,21.46213750,10.3500,1.0330
145,0.45598912,-3.02747891,5.1300,-0.1280
146,0.45619148,-25.79769516,8.9600,0.3060
147,0.46604367,21.02624872,8.4900,1.5690
149,0.47868501,26.00557721,11.2600,0.9320
148,0.47879268,15.52852839,8.1500,0.5840
150,0.48036559,-37.22984397,7.0400,1.0600
152,0.48445318,-28.13095543,10.0200,0.4560
153,0.48454484,12.65495324,8.9000,0.4590
151,0.48458240,-41.61373674,7.7800,0.4110
154,0.48996506,-6.01397169,4.3700,1.6310
155,0.49113894,46.26916275,9.9300,0.2830
156,0.49688500,63.35784580,8.6000,0.1000
157,0.50032768,-5.21399723,8.5100,0.9030
158,0.50047134,-37.90179046,7.0900,0.9990
159,0.51081115,-2.76616306,6.9300,0.2920
160,0.51171520,-69.26920741,8.6800,-0.0520
161,0.51248009,33.69599071,8.9800,1.5000
162,0.51336753,27.11861943,9.8400,0.6960
163,0.51714313,-30.68523468,8.9800,0.1070
164,0.51857812,59.94001211,7.9800,0.9700
165,0.51974463,-22.32747055,10.1600,0.4500
166,0.52152674,-56.51490157,8.8600,0.6600
167,0.52780714,39.18321360,8.5800,0.0600
168,0.53352192,-2.81984528,9.5600,1.1130
169,0.53502093,-68.28020594,9.2400,1.3900
170,0.53767720,-20.87164212,9.6300,0.5090
171,0.54018776,27.08448905,5.8000,0.6900
172,0.54288062,67.40895644,9.0500,0.9760
173,0.54959887,47.57722222,8.4500,0.2480
174,0.55156687,59.96533825,8.8600,1.0350
175,0.55243583,49.77113897,7.8400,0.9230
176,0.55333411,44.42827722,8.8600,0.5300
177,0.56020401,-11.96434717,8.9300,0.1720
178,0.56779620,-27.13517299,7.9700,0.5560
179,0.56886229,-13.40751554,6.9000,0.5340
180,0.57090231,-9.17489501,8.4700,1.1710
181,0.57381667,60.70319460,6.7700,1.8320
182,0.58116809,52.58643746,8.5500,1.0040
183,0.58297574,-29.72044805,5.0400,-0.1500
184,0.58977565,11.00634091,8.4800,0.8880
185,0.59015020,10.78564387,8.5300,0.5300
186,0.60069792,8.95683360,6.3300,0.1820
187,0.60211418,-6.05918213,8.9900,0.5000
188,0.60250452,6.33313676,8.6400,0.4880
189,0.60528721,54.13515756,9.5500,0.2370
190,0.60555642,10.77665206,8.7400,0.5700
191,0.61228711,-46.02884131,12.4300,1.4900
192,0.61983117,8.39393024,8.1600,1.0320
193,0.62164007,-39.21249918,9.4600,0.9440
194,0.62398938,8.48557854,5.7000,0.3150
195,0.62573691,47.42295978,7.6200,0.5170
196,0.62700447,51.82997958,8.9500,1.6770
197,0.63232895,42.14779896,8.9700,0.9520
198,0.63269567,15.33519012,8.9400,0.2760
199,0.63503230,16.25655097,7.2400,0.0740
200,0.63546326,-33.99267216,10.3200,0.3230
201,0.63931400,18.68336438,8.2400,0.4740
202,0.64173419,54.55216087,8.6200,0.3030
203,0.64222918,-15.83126945,9.1800,0.9810
204,0.64508403,-43.94791349,8.5300,1.2740
205,0.64571113,-5.18664439,8.5400,0.3840
206,0.64683993,18.83599601,8.5600,0.4360
208,0.64992943,-67.63428107,9.4100,0.9670
207,0.65034249,66.09896341,5.8700,1.0730
209,0.66015960,66.10037725,7.2000,0.0850
210,0.66214867,-8.48794379,9.0500,0.4700
211,0.66317884,-37.94768074,9.5200,0.8320
212,0.66344190,-29.07525103,10.2400,0.3180
213,0.66686344,51.47241278,7.7000,1.0030
214,0.66917246,28.54222144,8.1700,0.2900
217,0.67441616,82.97320953,7.2900,0.1180
215,0.67449039,75.03619342,9.2600,1.8000
216,0.67692229,42.92069156,7.9400,0.0160
218,0.67974974,-57.63363086,8.4200,1.0050
219,0.69022925,6.03445242,8.5600,0.6020
220,0.69173956,35.81547283,7.5200,0.1800
221,0.69321513,80.28224146,7.7400,0.4830
222,0.69448089,-40.98317970,8.8500,1.1130
224,0.69625192,3.86040514,9.0100,1.0100
